First Name,Last Name,Position,Team,Cr
Nikola,Jokic,Center,Denver Nuggets,"29,2"
Luka,Doncic,Guard,Los Angeles Lakers,"24,2"
Giannis,Antetokounmpo,Forward,Milwaukee Bucks,"22,5"
Victor,Wembanyama,Forward,San Antonio Spurs,"20,9"
Shai,Gilgeous-Alexander,Guard,Oklahoma City Thunder,"20,4"
Cade,Cunningham,Guard,Detroit Pistons,"18,8"
James,Harden,Guard,Los Angeles Clippers,"17,2"
Jalen,Johnson,Forward,Atlanta Hawks,"17,1"
Karl-anthony,Towns,Center,New York Knicks,17
Alperen,Sengun,Center,Houston Rockets,17
Anthony,Davis,Center,Dallas Mavericks,"16,9"
Domantas,Sabonis,Center,Sacramento Kings,"16,9"
Anthony,Edwards,Guard,Minnesota Timberwolves,"16,5"
Austin,Reaves,Guard,Los Angeles Lakers,"16,5"
Evan,Mobley,Forward,Cleveland Cavaliers,"16,3"
Jayson,Tatum,Forward,Boston Celtics,"16,2"
Tyrese,Haliburton,Guard,Indiana Pacers,"16,2"
Tyrese,Maxey,Guard,Philadelphia 76ers,"16,2"
Lebron,James,Forward,Los Angeles Lakers,"16,1"
Jaylen,Brown,Forward,Boston Celtics,16
Josh,Giddey,Guard,Chicago Bulls,16
Deni,Avdija,Forward,Portland Trail Blazers,"15,8"
Jalen,Duren,Center,Detroit Pistons,"15,7"
Kevin,Durant,Forward,Houston Rockets,"15,6"
Jalen,Brunson,Guard,New York Knicks,"15,5"
Damian,Lillard,Guard,Portland Trail Blazers,"15,3"
Scottie,Barnes,Forward,Toronto Raptors,"15,3"
Stephen,Curry,Guard,Golden State Warriors,"15,2"
Kyrie,Irving,Guard,Dallas Mavericks,"15,2"
Donovan,Mitchell,Guard,Cleveland Cavaliers,"15,2"
Jamal,Murray,Guard,Denver Nuggets,"15,2"
Ivica,Zubac,Center,Los Angeles Clippers,"15,2"
Trae,Young,Guard,Atlanta Hawks,"14,9"
Julius,Randle,Forward,Minnesota Timberwolves,"14,9"
Lamelo,Ball,Guard,Charlotte Hornets,"14,9"
Pascal,Siakam,Forward,Indiana Pacers,"14,7"
Michael,Porter Jr,Forward,Brooklyn Nets,"14,7"
Lauri,Markkanen,Forward,Utah Jazz,"14,5"
Kawhi,Leonard,Forward,Los Angeles Clippers,"14,4"
Joel,Embiid,Center,Philadelphia 76ers,"14,3"
Mark,Daigneault,Head Coach,Oklahoma City Thunder,"14,3"
Devin,Booker,Guard,Phoenix Suns,14
Jimmy,Butler,Forward,Golden State Warriors,"13,9"
Bam,Adebayo,Center,Miami Heat,"13,9"
Amen,Thompson,Guard,Houston Rockets,"13,8"
