First Name,Last Name,Position,Team,Cr,Team_abbr
Nikola,Jokic,Centro,Denver Nuggets,"29,2",DEN
Luka,Doncic,Guardia,Los Angeles Lakers,"24,2",LAL
Giannis,Antetokounmpo,Ala,Milwaukee Bucks,"22,5",MIL
Victor,Wembanyama,Ala,San Antonio Spurs,"20,9",SAS
Shai,Gilgeous-Alexander,Guardia,Oklahoma City Thunder,"20,4",OKC
Cade,Cunningham,Guardia,Detroit Pistons,"18,8",DET
James,Harden,Guardia,Los Angeles Clippers,"17,2",LAC
Jalen,Johnson,Ala,Atlanta Hawks,"17,1",ATL
Karl-anthony,Towns,Centro,New York Knicks,17,NYK
Alperen,Sengun,Centro,Houston Rockets,17,HOU
Anthony,Davis,Centro,Dallas Mavericks,"16,9",DAL
Domantas,Sabonis,Centro,Sacramento Kings,"16,9",SAC
Anthony,Edwards,Guardia,Minnesota Timberwolves,"16,5",MIN
Austin,Reaves,Guardia,Los Angeles Lakers,"16,5",LAL
Evan,Mobley,Ala,Cleveland Cavaliers,"16,3",CLE
Jayson,Tatum,Ala,Boston Celtics,"16,2",BOS
Tyrese,Haliburton,Guardia,Indiana Pacers,"16,2",IND
Tyrese,Maxey,Guardia,Philadelphia 76ers,"16,2",PHI
Lebron,James,Ala,Los Angeles Lakers,"16,1",LAL
Jaylen,Brown,Ala,Boston Celtics,16,BOS
Josh,Giddey,Guardia,Chicago Bulls,16,CHI
Deni,Avdija,Ala,Portland Trail Blazers,"15,8",POR
Jalen,Duren,Centro,Detroit Pistons,"15,7",DET
Kevin,Durant,Ala,Houston Rockets,"15,6",HOU
Jalen,Brunson,Guardia,New York Knicks,"15,5",NYK
Damian,Lillard,Guardia,Portland Trail Blazers,"15,3",POR
Scottie,Barnes,Ala,Toronto Raptors,"15,3",TOR
Stephen,Curry,Guardia,Golden State Warriors,"15,2",GSW
Kyrie,Irving,Guardia,Dallas Mavericks,"15,2",DAL
Donovan,Mitchell,Guardia,Cleveland Cavaliers,"15,2",CLE
Jamal,Murray,Guardia,Denver Nuggets,"15,2",DEN
Ivica,Zubac,Centro,Los Angeles Clippers,"15,2",LAC
Trae,Young,Guardia,Atlanta Hawks,"14,9",ATL
Julius,Randle,Ala,Minnesota Timberwolves,"14,9",MIN
Lamelo,Ball,Guardia,Charlotte Hornets,"14,9",CHA
Pascal,Siakam,Ala,Indiana Pacers,"14,7",IND
Michael,Porter Jr,Ala,Brooklyn Nets,"14,7",BKN
Lauri,Markkanen,Ala,Utah Jazz,"14,5",UTA
Kawhi,Leonard,Ala,Los Angeles Clippers,"14,4",LAC
Joel,Embiid,Centro,Philadelphia 76ers,"14,3",PHI
Devin,Booker,Guardia,Phoenix Suns,14,PHX
Jimmy,Butler,Ala,Golden State Warriors,"13,9",GSW
Bam,Adebayo,Centro,Miami Heat,"13,9",MIA
Amen,Thompson,Guardia,Houston Rockets,"13,8",HOU
Rudy,Gobert,Centro,Minnesota Timberwolves,"13,7",MIN
Franz,Wagner,Ala,Orlando Magic,"13,5",ORL
De'Aaron,Fox,Guardia,San Antonio Spurs,"13,1",SAS
Nikola,Vucevic,Centro,Chicago Bulls,13,CHI
Chet,Holmgren,Ala,Oklahoma City Thunder,13,OKC
Kristaps,Porzingis,Ala,Atlanta Hawks,"12,9",ATL
Paolo,Banchero,Ala,Orlando Magic,"12,7",ORL
Josh,Hart,Ala,New York Knicks,"12,7",NYK
Mikal,Bridges,Ala,New York Knicks,"12,7",NYK
Derrick,White,Guardia,Boston Celtics,"12,7",BOS
Cooper,Flagg,Ala,Dallas Mavericks,"12,7",DAL
Trey,Murphy III,Ala,New Orleans Pelicans,"12,5",NOP
Jarrett,Allen,Centro,Cleveland Cavaliers,"12,4",CLE
Nicolas,Claxton,Centro,Brooklyn Nets,"12,4",BKN
Deandre,Ayton,Centro,Los Angeles Lakers,12,LAL
Isaiah,Hartenstein,Centro,Oklahoma City Thunder,12,OKC
Zion,Williamson,Ala,New Orleans Pelicans,"11,9",NOP
Onyeka,Okongwu,Centro,Atlanta Hawks,"11,8",ATL
Jalen,Williams,Ala,Oklahoma City Thunder,"11,8",OKC
Ja,Morant,Guardia,Memphis Grizzlies,"11,7",MEM
Mark,Williams,Centro,Phoenix Suns,"11,7",PHX
Keyonte,George,Guardia,Utah Jazz,"11,7",UTA
Desmond,Bane,Guardia,Orlando Magic,"11,6",ORL
Dyson,Daniels,Guardia,Atlanta Hawks,"11,6",ATL
Walker,Kessler,Centro,Utah Jazz,"11,6",UTA
Immanuel,Quickley,Guardia,Toronto Raptors,"11,5",TOR
Miles,Bridges,Ala,Charlotte Hornets,"11,3",CHA
Tyler,Herro,Guardia,Miami Heat,"11,2",MIA
Norman,Powell,Guardia,Miami Heat,"11,1",MIA
Kel'el,Ware,Centro,Miami Heat,"11,1",MIA
Russell,Westbrook,Guardia,Sacramento Kings,11,SAC
Demar,Derozan,Ala,Sacramento Kings,11,SAC
Jakob,Poeltl,Centro,Toronto Raptors,"10,9",TOR
Darius,Garland,Guardia,Cleveland Cavaliers,"10,8",CLE
Alex,Sarr,Centro,Washington Wizards,"10,8",WAS
Jrue,Holiday,Guardia,Portland Trail Blazers,"10,7",POR
Payton,Pritchard,Guardia,Boston Celtics,"10,7",BOS
Myles,Turner,Centro,Milwaukee Bucks,"10,6",MIL
Andrew,Nembhard,Guardia,Indiana Pacers,"10,6",IND
Brandon,Ingram,Ala,Toronto Raptors,"10,4",TOR
Coby,White,Guardia,Chicago Bulls,"10,4",CHI
Stephon,Castle,Guardia,San Antonio Spurs,"10,4",SAS
Dejounte,Murray,Guardia,New Orleans Pelicans,"10,2",NOP
CJ,Mccollum,Guardia,Washington Wizards,"10,2",WAS
Quentin,Grimes,Guardia,Philadelphia 76ers,"10,2",PHI
Donovan,Clingan,Centro,Portland Trail Blazers,"10,1",POR
Zach,Lavine,Guardia,Sacramento Kings,10,SAC
Og,Anunoby,Ala,New York Knicks,10,NYK
Zach,Edey,Centro,Memphis Grizzlies,10,MEM
Vj,Edgecombe,Guardia,Philadelphia 76ers,10,PHI
Kon,Knueppel,Guardia,Charlotte Hornets,10,CHA
RJ,Barrett,Ala,Toronto Raptors,"9,9",TOR
Aaron,Gordon,Ala,Denver Nuggets,"9,9",DEN
Devin,Vassell,Guardia,San Antonio Spurs,"9,9",SAS
Donte,DiVincenzo,Guardia,Minnesota Timberwolves,"9,9",MIN
Ryan,Rollins,Guardia,Milwaukee Bucks,"9,9",MIL
Wendell,Carter Jr,Centro,Orlando Magic,"9,8",ORL
Andrew,Wiggins,Ala,Miami Heat,"9,7",MIA
